"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Pde6d","other","prenyl-binding protein / GDI for farnesylated proteins; chaperones KRAS and other prenylated Ras family members between membranes; GDI for ARL3-GTP; required for ciliary targeting of INPP5E and RAB28","KRAS (farnesyl); INPP5E (farnesyl); RAB28 (geranylgeranyl); ARL3 (GEF activity)","cytoplasm / cilia","retina (photoreceptors), ubiquitous","photoreceptor cells, endothelial cells, ciliated cells, cancer cells","RAS membrane targeting; ARL3-GTP GDI; cilia trafficking; KRAS oncogenic signaling","ciliopathy phenotypes (cone outer segment degeneration, RAB28 mislocalization); retinal degeneration","moderate","retinal photoreceptor degeneration in ciliopathy context; no primary brain phenotype","retinal photoreceptor targeting; no cerebellar evidence","pancreatic cancer, hepatocellular carcinoma, leukemia (KRAS context)","targets KRAS membrane association; PDE6D inhibitors developed as anti-KRAS strategy; PDE6D overexpression in HCC promotes proliferation","Joubert syndrome / ciliopathy (INPP5E ciliary targeting)","ciliary protein targeting during photoreceptor differentiation; RAS pathway regulation","Prenyl-binding chaperone that regulates KRAS and other farnesylated proteins' membrane targeting; therapeutic target in KRAS-mutant cancers and required for ciliary protein trafficking."
"Pepd","enzyme","metallopeptidase cleaving Xaa-Pro dipeptides; rate-limiting step in collagen recycling; also acts as EGFR/ErbB2 ligand (non-enzymatic function)","Gly-Pro and other Xaa-Pro dipeptides; EGFR (ErbB1); ErbB2 (non-enzymatic)","cytoplasm / secreted","ubiquitous; skin, connective tissue","fibroblasts, keratinocytes, immune cells","Collagen metabolism/recycling; EGFR-ErbB2 receptor signaling (as ligand); IGF-1 signaling; wound healing; cell proliferation","prolidase deficiency: skin ulcers, recurrent infections, intellectual disability, autoimmune features (human mutations)","moderate (human disease)","intellectual disability in prolidase deficiency; no primary cerebellar phenotype","no cerebellar-specific evidence","broad cancer relevance (PEPD as ErbB2 ligand; EGFR signaling)","activates EGFR and ErbB2 as exogenous ligand; promotes cancer cell proliferation via receptor tyrosine kinase signaling","prolidase deficiency (intellectual disability, skin ulcers, immune dysfunction)","promotes keratinocyte and fibroblast proliferation via EGFR/ErbB2 activation; collagen recycling during tissue remodeling","Dipeptidase essential for collagen recycling that also acts as a high-affinity ligand for ErbB2 and EGFR, activating downstream proliferative signaling; loss causes prolidase deficiency syndrome."
"Pex11b","other","promotes peroxisome proliferation and division; elongates peroxisomal membrane; recruits DRP1/DNM1L via FIS1/MFF for fission","DRP1 (via FIS1/MFF adaptors); peroxisomal membrane lipids","peroxisomal membrane","ubiquitous; neural tissue (important in differentiation)","all cells; particularly important in neurons, hepatocytes","Peroxisome biogenesis/fission; DRP1-mediated organelle division; fatty acid oxidation (peroxisomal); oxidative metabolism","peroxisome biogenesis disorder 14B (autosomal recessive; hypotonia, neonatal seizures, leukodystrophy in humans); epidermal differentiation defects in mouse RNAi screen","severe (human biallelic KO)","leukodystrophy; neurodegeneration; neonatal seizures in human PEX11B deficiency; neural differentiation requires PEX11B in ESCs","PEX11B knockdown impairs neural differentiation of hESCs; expressed in neural lineage","epidermal cancer context (epidermis proliferation/differentiation balance)","not well established as direct cancer gene","peroxisome biogenesis disorder 14B (hypotonia, seizures, leukodystrophy)","required for neural differentiation (hESC studies); peroxisome proliferation during metabolic reprogramming in differentiation","Peroxisomal membrane protein that drives peroxisome proliferation and division by recruiting the DRP1 fission machinery; required for neural differentiation and loss causes a severe leukodystrophy."
"Pgm2l1","enzyme","synthesizes glucose-1,6-bisphosphate from 1,3-bisphosphoglycerate and glucose-1-phosphate; also phosphopentomutase and phosphoglucomutase activity in vitro","glucose-1-phosphate, mannose-1-phosphate, ribose-1-phosphate, 1,3-bisphosphoglycerate","cytoplasm","brain (enriched), erythrocytes","neurons","glycolysis regulation; energy sensing","not well characterized in vivo","unknown","glucose-1,6-bisphosphate is highly abundant in neurons; linked to cerebral energy metabolism via PKN1 pathway","not directly; cerebral energy metabolism studies include cerebellar context","pancreatic adenocarcinoma, gastric cancer, cutaneous T cell lymphoma","biomarker in glycolysis-related subtypes; not driver","none established","not established; metabolic enzyme expressed during active glycolysis","Neuronally enriched glucose-1,6-bisphosphate synthase that senses glycolytic flux and energy state; abundant in brain neurons."
"Phf1","scaffold/adaptor","binds H3K36me3 via Tudor domain; recruits PRC2 complex to chromatin; promotes H3K27me3 spreading; binds methylated p53; promotes NHEJ via Ku70/Ku80 interaction","H3K36me3, H3K27me3, p53","nucleus","ubiquitous","neural progenitors, embryonic stem cells","PRC2/H3K27me3 silencing; DNA damage response (NHEJ); p53 pathway","not established in neural-specific KO","unknown","interacts with EZH2 at Hox and other PcG target genes; role in H3K27me3 regulation","yes - directly interacts with EZH2; resides at EZH2-regulated genes in neural cells","ossifying fibromyxoid tumor (PHF1 gene fusions: EP400, MEAF6, EPC1, TFE3), lung adenocarcinoma","oncogenic via gene fusions in OFMT; pro-tumorigenic in LUAD; direct PcG co-factor for EZH2","none established","PcG co-factor that reinforces H3K27me3-mediated silencing of developmental genes during differentiation","PRC2 accessory subunit that reads H3K36me3 and recruits EZH2 to reinforce H3K27me3 gene silencing; directly relevant to this project."
"Phf19","scaffold/adaptor","binds H3K36me3 and H3K36me2 via Tudor domain; recruits PRC2; recruits H3K36me3 demethylases RIOX1/KDM2B; contributes to de novo gene silencing at CpG islands; stabilizes Gli1 against ubiquitination","H3K36me3, H3K36me2, PRC2, Gli1","nucleus","ubiquitous; high in embryonic stem cells","neural progenitors, embryonic stem cells, leukemic cells","PRC2/H3K27me3 silencing; Hedgehog-Gli1 signaling; cell proliferation and differentiation","not established","unknown","PCL3 ortholog; overexpressed in glioblastoma where it promotes proliferation","glioblastoma, multiple myeloma, prostate cancer, gastric cancer","yes; glioblastoma data available","glioblastoma, multiple myeloma, prostate cancer, myeloid leukemia, gastric cancer, colorectal cancer, Ewing sarcoma","oncogene; promotes tumor cell proliferation, invasion, and angiogenesis via PRC2-dependent gene silencing","none established","PRC2 co-factor that drives ES cell self-renewal; silences differentiation genes in cancer via H3K36me3-to-H3K27me3 switch PRC2 accessory subunit (PCL3) that reads active H3K36me3 marks and converts them to repressive H3K27me3; overexpressed in glioblastoma and multiple cancers."
"Piga","enzyme","catalytic subunit of GPI-GnT; transfers N-acetylglucosamine to phosphatidylinositol; first step in GPI anchor biosynthesis","UDP-N-acetylglucosamine, phosphatidylinositol","ER membrane","ubiquitous (hematopoietic stem cells critically)","hematopoietic stem cells, all nucleated cells","GPI anchor biosynthesis; complement regulation","somatic loss causes PNH clonal expansion; germline loss is embryonic lethal","severe (embryonic lethal germline; somatic clonal disease)","not directly reported for cerebellum","no specific cerebellar evidence","paroxysmal nocturnal hemoglobinuria (clonal disease, not classical cancer)","loss-of-function drives clonal expansion via complement escape; not a classical oncogene","none established","essential housekeeping enzyme required for GPI-anchored protein surface expression","Catalytic subunit of the GPI-anchor biosynthesis complex; somatic PIGA loss causes PNH via clonal expansion due to complement escape."
"Pik3r3","scaffold/adaptor","regulatory subunit (p55) of PI3K; binds phosphorylated RTKs via SH2 domain; binds IRS-1 during insulin signaling; modulates PI3K catalytic activity","phospho-tyrosine RTKs, IRS-1","cytoplasm, membrane","ubiquitous; high in brain and muscle","neurons, glioblastoma cells, cancer cells","PI3K/AKT/mTOR signaling; p53/p21 senescence pathway; insulin signaling","not well characterized; likely metabolic defects","unknown","expressed in brain; PIK3R3 upregulation promotes glioblastoma erlotinib resistance","not specifically in cerebellum","glioblastoma, colorectal cancer, liver cancer, uveal melanoma, oral squamous cell carcinoma, Wilms tumor","oncogene; promotes proliferation; inhibits senescence via p53/p21 suppression; drives drug resistance","none established","promotes proliferation by inhibiting senescence; context-dependent role","PI3K p55 regulatory subunit that modulates PI3K/AKT signaling and suppresses p53-mediated senescence; upregulated in multiple cancers."
"Pisd","enzyme","catalyzes decarboxylation of phosphatidylserine to phosphatidylethanolamine; maintains mitochondrial PE levels; regulates mitochondrial dynamics","phosphatidylserine","inner mitochondrial membrane","ubiquitous","hepatocytes, cardiomyocytes, fibroblasts, neurons","phospholipid metabolism; mitochondrial membrane homeostasis; autophagy","biallelic variants cause spondyloepimetaphyseal dysplasia and multisystem disorder (eyes, ears, bones, brain)","moderate-severe (multisystem developmental disease)","brain involvement in PISD deficiency syndrome","not specifically cerebellar","hepatocellular carcinoma","tumor suppressor candidate in HCC; silencing impairs mitochondrial oxidative metabolism","PISD deficiency syndrome (SEMD, multisystem neurological disorder)","not established; housekeeping mitochondrial enzyme","Mitochondrial inner membrane enzyme that converts phosphatidylserine to phosphatidylethanolamine; biallelic loss causes multisystem disorder including brain involvement."
"Pitx1","transcription factor","homeodomain TF; binds gene promoters; activates transcription; synergizes with PIT-1 on pituitary target genes; interacts with p53; regulates cell cycle and apoptosis","pituitary target gene promoters, p53, POMC promoter","nucleus","pituitary, hindlimb, oral epithelium","pituitary cells, keratinocytes, osteoblasts","pituitary-specific gene activation; p53 pathway; cell cycle regulation; hindlimb identity","hindlimb identity defects; reduced hindlimb size; pituitary abnormalities","moderate","not established for neural differentiation specifically","not reported for cerebellum","osteosarcoma, non-small cell lung cancer, melanoma, chondrosarcoma","tumor suppressor; loss promotes proliferation and migration; activates p53 pathway","none established","restricted to specific tissues; promotes differentiation in pituitary and hindlimb contexts","Paired-like homeodomain TF that activates pituitary genes and p53-target programs; acts as a tumor suppressor in osteosarcoma, NSCLC, and melanoma."
"Pkp3","scaffold/adaptor","desmosomal plaque protein; binds desmoglein, desmocollin, plakoglobin, desmoplakin; organizes desmosome assembly; activates ERK-RSK1 signaling; promotes E2F1 activity via RB inhibition; stabilizes PKP2 mRNA via FXR1","DSG2, DSP, PKP2, DSG3, CDH1, RAP1A","plasma membrane (desmosomes), cytoplasm","skin, stratified epithelia","keratinocytes, epithelial cells","desmosome assembly; ERK/RSK1/RB/E2F1 proliferation signaling; cell adhesion","skin fragility; impaired desmosome formation; altered epithelial polarity","moderate","not established","not specifically reported","melanoma, breast cancer, gastric cancer, ovarian cancer, non-small cell lung cancer, colorectal cancer","oncogene in ovarian and other cancers; promotes proliferation via ERK-RB-E2F1 axis; but lost in some skin tumors","none established","promotes proliferation in basal progenitors via ERK signaling; expressed in proliferating keratinocytes","Desmosomal armadillo protein that drives ERK-RB-E2F1 proliferation signaling in addition to its structural adhesion role; context-dependent oncogenic activity."
